address,city,country,district,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,short_name,start_date,state_prov,timezone,webcasts,website,week,year
"7555 Falconridge Blvd NE #10, Calgary, AB T3J 0C9, Canada",Calgary,Canada,,[],2022-03-19,abca,0,Regional,ABCA,,ChIJWxy6PJljcVMRpVrD88vyEdY,https://maps.google.com/?cid=15425377156502608549,2022abca,51.1202633,-113.9486288,The Genesis Centre,Canadian Rockies Regional,,,,T3J 0C9,Canadian Rockies,2022-03-16,AB,America/Edmonton,[],http://frcwest.com/,2.0,2022
"700 Monroe St SW, Huntsville, AL 35801, USA",Huntsville,USA,,[],2022-04-09,alhu,0,Regional,ALHU,,ChIJBwUw_FdrYogRMsP0V0W5Zqk,"https://maps.google.com/?q=700+Monroe+St+SW,+Huntsville,+AL+35801,+USA&ftid=0x88626b57fc300507:0xa966b94557f4c332",2022alhu,34.72671,-86.5903795,700 Monroe St SW,Rocket City Regional,,,,35801,Rocket City,2022-04-06,AL,America/Chicago,"[{'channel': 'firstinspires5', 'type': 'twitch'}, {'channel': 'firstinspires6', 'type': 'twitch'}]",http://firstinalabama.org/events/frc-events/,5.0,2022
"915 E Market Ave, Searcy, AR 72149, USA",Searcy,USA,,[],2022-04-02,arli,0,Regional,ARLI,,ChIJs9qADaip04cREIQZoDzxZ-8,https://maps.google.com/?cid=17251022140352332816,2022arli,35.245152,-91.7235465,Harding University,Arkansas Regional presented by Harding University and Searcy A & P,,,,72149,Arkansas,2022-03-31,AR,America/Chicago,"[{'channel': 'firstinspires11', 'type': 'twitch'}, {'channel': 'firstinspires12', 'type': 'twitch'}]",http://www.firstinspires.org,4.0,2022
"Corner Crown &, Harbour St, Wollongong NSW 2500, Australia",Wollongong,Australia,,[],2022-03-13,ausc,0,Regional,AUSC,,ChIJMSjO5KsZE2sRVXaji5QvQ-s,https://maps.google.com/?cid=16952445737397089877,2022ausc,-34.4265113,150.9024458,WIN Sports & Entertainment Centres,Southern Cross Regional,,,,2500,Southern Cross,2022-03-11,NSW,Australia/Sydney,"[{'channel': 'firstinspires31', 'type': 'twitch'}]",https://firstaustralia.org/,1.0,2022
"Walkup Skydome, 1701 S San Francisco St, Flagstaff, AZ 86011, USA",Flagstaff,USA,,[],2022-03-12,azfl,0,Regional,AZFL,,ChIJ7QLRa3CPLYcRKv6uQlLwt1Y,https://maps.google.com/?q=Walkup+Skydome&ftid=0x872d8f706bd102ed:0x56b7f05242aefe2a,2022azfl,35.1805057,-111.6528193,Walkup Skydome,Arizona North Regional,,,,86011,Arizona North,2022-03-09,AZ,America/Phoenix,"[{'channel': 'firstinspires13', 'type': 'twitch'}, {'channel': 'firstinspires14', 'type': 'twitch'}]",https://www.nau.edu/robotics,1.0,2022
"6935 E Gold Dust Ave, Scottsdale, AZ 85253, USA",Scottsdale,USA,,[],2022-03-19,azva,0,Regional,AZVA,,ChIJO1C9IL50K4cRRyF73ovK87c,https://maps.google.com/?cid=13255160830363377991,2022azva,33.576638,-111.932348,Chaparral High School,Arizona Valley Regional,,,,85253,Arizona Valley,2022-03-16,AZ,America/Phoenix,"[{'channel': 'firstinspires10', 'type': 'twitch'}, {'channel': 'firstinspires9', 'type': 'twitch'}]",,2.0,2022
"1925 Blanshard St, Victoria, BC V8T 4J2, Canada",Victoria,Canada,,[],2022-03-05,bcvi,0,Regional,BCVI,,ChIJHeSUMoF0j1QRH6fYHVSdDEQ,"https://maps.google.com/?q=1925+Blanshard+St,+Victoria,+BC+V8T+4J2,+Canada&ftid=0x548f74813294e41d:0x440c9d541dd8a71f",2022bcvi,48.4316374,-123.3607382,1925 Blanshard St,Canadian Pacific Regional,,,,V8T 4J2,Canadian Pacific,2022-03-03,BC,America/Vancouver,"[{'channel': 'firstinspires7', 'type': 'twitch'}, {'channel': 'firstinspires8', 'type': 'twitch'}]",https://firstroboticsbc.org/frc/,0.0,2022
"3200 E Ave J 8, Lancaster, CA 93535, USA",Lancaster,USA,,[],2022-04-09,caav,0,Regional,CAAV,,ChIJO46bMf9QwoAREu-kYkFiNzw,"https://maps.google.com/?q=3200+E+Ave+J+8,+Lancaster,+CA+93535,+USA&ftid=0x80c250ff319b8e3b:0x3c37624162a4ef12",2022caav,34.6814866,-118.0710237,3200 E Ave J 8,Aerospace Valley Regional,,,,93535,Aerospace Valley,2022-04-06,CA,America/Los_Angeles,"[{'channel': 'firstinspires17', 'type': 'twitch'}, {'channel': 'firstinspires18', 'type': 'twitch'}]",https://cafirst.org/frc/aerospacevalley/,5.0,2022
"1 Shields Ave, Davis, CA 95616, USA",Davis,USA,,[],2022-03-26,cada,0,Regional,CADA,,ChIJP_qJdH_T6oARNIN-CCS7v-w,https://maps.google.com/?cid=17059559676938453812,2022cada,38.5382322,-121.7617125,"University of California, Davis",Sacramento Regional,,,,95616,Sacramento,2022-03-23,CA,America/Los_Angeles,"[{'channel': 'firstinspires15', 'type': 'twitch'}, {'channel': 'firstinspires16', 'type': 'twitch'}]",https://cafirst.org/frc/sacramento/,3.0,2022
"848 M St, Fresno, CA 93721, USA",Fresno,USA,,[],2022-04-02,cafr,0,Regional,CAFR,,ChIJGUsCoSFelIAR8KziPQT42wE,"https://maps.google.com/?q=848+M+St,+Fresno,+CA+93721,+USA&ftid=0x80945e21a1024b19:0x1dbf8043de2acf0",2022cafr,36.7351518,-119.7848543,848 M St,Central Valley Regional,,,,93721,Central Valley,2022-03-30,CA,America/Los_Angeles,"[{'channel': 'firstinspires17', 'type': 'twitch'}, {'channel': 'firstinspires18', 'type': 'twitch'}]",https://cafirst.org/frc/centralvalley/,4.0,2022
