key,event_key,comp_level,w_score,l_score,w_autoPoints,w_autoTaxiPoints,w_autoCargoTotal,w_autoLowerGoals,w_autoUpperGoals,w_teleopCargoPoints,w_teleopCargoTotal,w_teleopLowerGoals,w_teleopUpperGoals,w_endgamePoints,w_lowBars,w_midBars,w_highBars,w_travBars,w_cargoBonusRankingPoint,w_hangarBonusRankingPoint,w_quintetAchieved,l_autoPoints,l_autoTaxiPoints,l_autoCargoTotal,l_autoLowerGoals,l_autoUpperGoals,l_teleopCargoPoints,l_teleopCargoTotal,l_teleopLowerGoals,l_teleopUpperGoals,l_endgamePoints,l_lowBars,l_midBars,l_highBars,l_travBars,l_cargoBonusRankingPoint,l_hangarBonusRankingPoint,l_quintetAchieved,YouTubeLink
2022bcvi_f1m1,2022bcvi,f,45,41,14,6,3,2,1,10,10,10,0,21,0,1,0,1,0,0,0,16,6,3,1,2,9,5,1,4,12,0,2,0,0,0,0,0,https://youtu.be/4DQnI-zghbY
2022bcvi_f1m2,2022bcvi,f,54,35,20,6,4,1,3,15,15,15,0,15,0,0,0,1,0,0,0,10,6,1,0,1,9,7,5,2,12,0,2,0,0,0,0,0,https://youtu.be/haossfb0YIo
2022bcvi_qf1m1,2022bcvi,qf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022bcvi_qf1m2,2022bcvi,qf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022bcvi_qf2m1,2022bcvi,qf,45,42,14,6,3,2,1,19,12,5,7,12,0,2,0,0,0,0,0,16,6,3,1,2,10,5,0,5,16,0,1,1,0,0,0,0,https://youtu.be/JjstNvM5pjU
2022bcvi_qf2m2,2022bcvi,qf,41,21,8,6,1,1,0,15,11,7,4,6,0,1,0,0,0,0,0,18,6,3,0,3,3,2,1,1,0,0,0,0,0,0,0,0,https://youtu.be/TkFCHkpeUgk
2022bcvi_qf3m1,2022bcvi,qf,45,42,12,6,2,1,1,12,7,2,5,21,0,1,0,1,0,0,0,14,6,3,2,1,18,9,0,9,6,0,1,0,0,0,0,0,https://youtu.be/u8jwFd6kT-8
2022bcvi_qf3m2,2022bcvi,qf,39,34,16,6,3,1,2,9,5,1,4,10,1,1,0,0,0,0,0,12,6,2,1,1,10,5,0,5,12,0,2,0,0,0,0,0,https://youtu.be/Lw3eZr0nfIY
2022bcvi_qf3m3,2022bcvi,qf,21,15,6,6,0,0,0,9,5,1,4,6,0,1,0,0,0,0,0,12,6,2,1,1,3,2,1,1,0,0,0,0,0,0,0,0,https://youtu.be/EhxsJxPa_bo
2022bcvi_qf4m1,2022bcvi,qf,36,24,8,6,1,1,0,6,6,6,0,6,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,https://youtu.be/eXLxwnD9H1o
2022bcvi_qf4m2,2022bcvi,qf,35,31,10,4,2,1,1,15,12,9,3,6,0,1,0,0,0,0,0,12,6,2,1,1,5,3,1,2,10,1,1,0,0,0,0,0,https://youtu.be/cUWOyhRWbzc
2022bcvi_qm1,2022bcvi,qm,35,15,10,4,2,1,1,10,8,6,2,15,0,0,0,1,0,0,0,2,2,0,0,0,3,2,1,1,6,0,1,0,0,0,0,0,https://youtu.be/wZ2q89Zu3jk
2022bcvi_qm10,2022bcvi,qm,18,16,4,4,0,0,0,8,5,2,3,6,0,1,0,0,0,0,0,8,4,1,0,1,2,1,0,1,6,0,1,0,0,0,0,0,https://youtu.be/YbnNkXZ6hgg
2022bcvi_qm11,2022bcvi,qm,48,6,14,6,3,2,1,24,18,12,6,10,0,0,1,0,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://youtu.be/_0mRwZUbHoE
2022bcvi_qm12,2022bcvi,qm,16,9,6,6,0,0,0,4,3,2,1,6,0,1,0,0,0,0,0,2,2,0,0,0,7,4,1,3,0,0,0,0,0,0,0,0,https://youtu.be/SphWAjr1s8s
2022bcvi_qm13,2022bcvi,qm,32,26,8,6,1,1,0,10,8,6,2,6,0,1,0,0,0,0,0,8,4,1,0,1,12,6,0,6,6,0,1,0,0,0,0,0,https://youtu.be/YS_-tcY2gJU
2022bcvi_qm14,2022bcvi,qm,36,6,12,4,2,0,2,5,3,1,2,15,0,0,0,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://youtu.be/dv4s_SSfIvs
2022bcvi_qm15,2022bcvi,qm,41,21,12,6,2,1,1,9,9,9,0,20,1,1,1,0,0,1,0,6,4,1,1,0,9,6,3,3,6,0,1,0,0,0,0,0,https://youtu.be/uIbgR_exccE
2022bcvi_qm16,2022bcvi,qm,14,11,6,4,1,1,0,2,1,0,1,6,0,1,0,0,0,0,0,6,6,0,0,0,5,3,1,2,0,0,0,0,0,0,0,0,https://youtu.be/-uppoMT96_o
2022bcvi_qm17,2022bcvi,qm,28,20,6,4,1,1,0,4,3,2,1,10,1,1,0,0,0,0,0,6,4,1,1,0,10,10,10,0,4,1,0,0,0,0,0,0,https://youtu.be/lRcKnrGwWNc
2022bcvi_qm18,2022bcvi,qm,40,10,8,6,1,1,0,20,12,4,8,12,0,2,0,0,0,0,0,8,4,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,https://youtu.be/-8TJziiG_og
2022bcvi_qm19,2022bcvi,qm,34,26,6,4,1,1,0,14,10,6,4,10,0,0,1,0,0,0,0,8,6,1,1,0,6,5,4,1,12,0,2,0,0,0,0,0,https://youtu.be/Q1RdGoNcAq8
2022bcvi_qm2,2022bcvi,qm,26,7,10,4,2,1,1,12,8,4,4,4,1,0,0,0,0,0,0,4,2,1,1,0,3,2,1,1,0,0,0,0,0,0,0,0,https://youtu.be/GdIuyYhssVQ
2022bcvi_qm20,2022bcvi,qm,26,21,6,4,0,0,0,10,0,0,0,6,0,1,0,0,0,0,0,4,4,0,0,0,2,0,0,0,15,0,0,0,1,0,0,0,https://youtu.be/PK_1NtK4b3w
2022bcvi_qm21,2022bcvi,qm,60,42,18,6,4,2,2,26,19,12,7,16,0,1,1,0,1,1,0,10,4,2,1,1,12,7,2,5,16,0,1,1,0,0,1,0,https://youtu.be/lPUfuBYsw4E
2022bcvi_qm22,2022bcvi,qm,34,32,10,2,2,0,2,8,7,6,1,16,0,1,1,0,0,1,0,10,6,1,0,1,12,6,0,6,10,1,1,0,0,0,0,0,https://youtu.be/zXWRmXyTaGc
2022bcvi_qm23,2022bcvi,qm,38,7,14,6,2,0,2,20,10,0,10,0,0,0,0,0,0,0,0,4,4,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,https://youtu.be/zE_VAaLPw7Q
2022bcvi_qm24,2022bcvi,qm,22,21,6,4,1,1,0,10,8,6,2,6,0,1,0,0,0,0,0,4,4,0,0,0,7,4,1,3,6,0,1,0,0,0,0,0,https://youtu.be/cGC9lKJAra0
2022bcvi_qm25,2022bcvi,qm,37,22,8,4,2,2,0,9,9,9,0,16,1,2,0,0,0,1,0,8,4,1,0,1,6,3,0,3,0,0,0,0,0,0,0,0,https://youtu.be/zhiP8Sj_7U0
2022bcvi_qm26,2022bcvi,qm,40,16,12,4,2,0,2,9,9,9,0,19,1,0,0,1,0,1,0,6,4,1,1,0,4,3,2,1,6,0,1,0,0,0,0,0,https://youtu.be/dvG5uWlB27M
2022bcvi_qm27,2022bcvi,qm,26,16,6,6,0,0,0,4,3,2,1,12,0,2,0,0,0,0,0,10,6,2,2,0,6,6,6,0,0,0,0,0,0,0,0,0,https://youtu.be/WDJoa0jZauU
2022bcvi_qm28,2022bcvi,qm,34,6,10,6,2,2,0,4,4,4,0,16,0,1,1,0,0,1,0,0,0,0,0,0,6,3,0,3,0,0,0,0,0,0,0,0,https://youtu.be/wE2Z3qJf2vo
2022bcvi_qm29,2022bcvi,qm,38,33,12,4,2,0,2,14,7,0,7,0,0,0,0,0,0,0,0,12,6,2,1,1,13,10,7,3,0,0,0,0,0,0,0,0,https://youtu.be/zqi_m2VkgNs
2022bcvi_qm3,2022bcvi,qm,25,2,8,6,1,1,0,11,10,9,1,6,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://youtu.be/M1ch3YKXxeg
2022bcvi_qm30,2022bcvi,qm,43,42,8,6,1,1,0,17,17,17,0,6,0,1,0,0,0,0,0,8,6,1,1,0,6,6,6,0,16,0,1,1,0,0,1,0,https://youtu.be/eexXzN3Dubo
2022bcvi_qm31,2022bcvi,qm,29,27,12,4,3,2,1,7,6,5,1,10,1,1,0,0,0,0,0,8,4,1,0,1,13,7,1,6,6,0,1,0,0,0,0,0,https://youtu.be/ixpsTyTfkN0
2022bcvi_qm32,2022bcvi,qm,25,10,10,6,1,0,1,9,5,1,4,6,0,1,0,0,0,0,0,10,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,https://youtu.be/TfywkYrZ1SI
2022bcvi_qm33,2022bcvi,qm,47,6,12,4,3,2,1,17,12,7,5,6,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://youtu.be/-puzMptDijo
2022bcvi_qm34,2022bcvi,qm,24,20,8,4,2,2,0,6,3,0,3,6,0,1,0,0,0,0,0,6,4,1,1,0,10,8,6,2,0,0,0,0,0,0,0,0,https://youtu.be/pUaHtD10ECM
2022bcvi_qm35,2022bcvi,qm,29,26,8,4,1,0,1,5,3,1,2,12,0,2,0,0,0,0,0,4,4,0,0,0,14,7,0,7,0,0,0,0,0,0,0,0,https://youtu.be/8PDRK7CnZxY
2022bcvi_qm36,2022bcvi,qm,45,42,12,4,3,2,1,9,8,7,1,16,0,1,1,0,0,1,0,18,6,3,0,3,8,4,0,4,12,0,2,0,0,0,0,0,https://youtu.be/P2fvFLHWwQ8
2022bcvi_qm37,2022bcvi,qm,34,18,12,6,2,1,1,4,4,4,0,14,1,0,1,0,0,0,0,6,4,1,1,0,12,7,2,5,0,0,0,0,0,0,0,0,https://youtu.be/h6bVFWLP5zA
2022bcvi_qm38,2022bcvi,qm,49,22,12,6,2,1,1,19,10,1,9,10,0,0,1,0,0,0,0,8,4,1,0,1,6,3,0,3,4,1,0,0,0,0,0,0,https://youtu.be/XccJAZiVvII
