event, date, match, matchType, matchNum, color, autoSwitchTime, autoScaleTime, autoScore, autoSwitchAtZero, youtube 
2018abca,1523137856,2018abca_f1m1, f,1,blue,4,13, 41,True,"no video"
2018abca,1523137856,2018abca_f1m1,f,1,red,8,15,24,True,"no video"
2018abca,1523138975,2018abca_f1m2, f,2,blue,4,12, 43,True,"no video"
2018abca,1523138975,2018abca_f1m2,f,2,red,6,14,35,True,"no video"
2018abca,1523129389,2018abca_qf1m1, qf,1,blue,10,14, 27,True,"no video"
2018abca,1523129389,2018abca_qf1m1,qf,1,red,6,15,33,True,"no video"
2018abca,1523131775,2018abca_qf1m2, qf,2,blue,11,15, 23,True,"no video"
2018abca,1523131775,2018abca_qf1m2,qf,2,red,8,6,47,True,"no video"
2018abca,1523129858,2018abca_qf2m1, qf,1,blue,15,15, 10,False,"no video"
2018abca,1523129858,2018abca_qf2m1,qf,1,red,9,13,31,True,"no video"
2018abca,1523132163,2018abca_qf2m2, qf,2,blue,15,15, 15,False,"no video"
2018abca,1523132163,2018abca_qf2m2,qf,2,red,13,12,25,True,"no video"
2018abca,1523130390,2018abca_qf3m1, qf,1,blue,6,15, 33,True,"no video"
2018abca,1523130390,2018abca_qf3m1,qf,1,red,4,8,51,True,"no video"
2018abca,1523132803,2018abca_qf3m2, qf,2,blue,5,15, 35,True,"no video"
2018abca,1523132803,2018abca_qf3m2,qf,2,red,4,8,51,True,"no video"
2018abca,1523130845,2018abca_qf4m1, qf,1,blue,15,15, 15,False,"no video"
2018abca,1523130845,2018abca_qf4m1,qf,1,red,7,11,39,True,"no video"
2018abca,1523133234,2018abca_qf4m2, qf,2,blue,6,15, 33,True,"no video"
2018abca,1523133234,2018abca_qf4m2,qf,2,red,15,15,15,False,"no video"
2018abca,1523028258,2018abca_qm1, qm,1,blue,15,15, 5,False,"no video"
2018abca,1523028258,2018abca_qm1,qm,1,red,15,15,15,False,"no video"
2018abca,1523034007,2018abca_qm10, qm,10,blue,4,15, 37,True,"no video"
2018abca,1523034007,2018abca_qm10,qm,10,red,15,15,0,False,"no video"
2018abca,1523034612,2018abca_qm11, qm,11,blue,15,15, 10,False,"no video"
2018abca,1523034612,2018abca_qm11,qm,11,red,15,15,10,False,"no video"
2018abca,1523035352,2018abca_qm12, qm,12,blue,10,15, 20,True,"no video"
2018abca,1523035352,2018abca_qm12,qm,12,red,15,15,10,False,"no video"
2018abca,1523035854,2018abca_qm13, qm,13,blue,15,15, 10,False,"no video"
2018abca,1523035854,2018abca_qm13,qm,13,red,15,15,10,False,"no video"
2018abca,1523036307,2018abca_qm14, qm,14,blue,4,8, 51,True,"no video"
2018abca,1523036307,2018abca_qm14,qm,14,red,15,15,0,False,"no video"
2018abca,1523036689,2018abca_qm15, qm,15,blue,15,15, 10,False,"no video"
2018abca,1523036689,2018abca_qm15,qm,15,red,7,15,31,True,"no video"
2018abca,1523037313,2018abca_qm16, qm,16,blue,15,15, 10,False,"no video"
2018abca,1523037313,2018abca_qm16,qm,16,red,10,15,15,True,"no video"
2018abca,1523037923,2018abca_qm17, qm,17,blue,15,15, 10,False,"no video"
2018abca,1523037923,2018abca_qm17,qm,17,red,4,15,37,True,"no video"
2018abca,1523038418,2018abca_qm18, qm,18,blue,15,15, 5,False,"no video"
2018abca,1523038418,2018abca_qm18,qm,18,red,15,15,10,False,"no video"
2018abca,1523038854,2018abca_qm19, qm,19,blue,6,15, 28,True,"no video"
2018abca,1523038854,2018abca_qm19,qm,19,red,12,15,21,True,"no video"
2018abca,1523028707,2018abca_qm2, qm,2,blue,7,15, 21,True,"no video"
2018abca,1523028707,2018abca_qm2,qm,2,red,8,15,24,True,"no video"
2018abca,1523039243,2018abca_qm20, qm,20,blue,8,15, 24,True,=HYPERLINK("https://youtu.be/CwpJJ4h9AYY")
2018abca,1523039243,2018abca_qm20,qm,20,red,7,15,31,True,=HYPERLINK("https://youtu.be/CwpJJ4h9AYY")
2018abca,1523042166,2018abca_qm21, qm,21,blue,8,15, 29,True,=HYPERLINK("https://youtu.be/ge1WYyuv5r4")
2018abca,1523042166,2018abca_qm21,qm,21,red,15,15,10,False,=HYPERLINK("https://youtu.be/ge1WYyuv5r4")
2018abca,1523042768,2018abca_qm22, qm,22,blue,4,15, 37,True,=HYPERLINK("https://youtu.be/C9MECK36gRo")
2018abca,1523042768,2018abca_qm22,qm,22,red,15,15,10,False,=HYPERLINK("https://youtu.be/C9MECK36gRo")
2018abca,1523043172,2018abca_qm23, qm,23,blue,15,15, 15,False,=HYPERLINK("https://youtu.be/fUg5_QwoVh4")
2018abca,1523043172,2018abca_qm23,qm,23,red,5,15,25,True,=HYPERLINK("https://youtu.be/fUg5_QwoVh4")
2018abca,1523043626,2018abca_qm24, qm,24,blue,8,15, 29,True,=HYPERLINK("https://youtu.be/NkAK1sHLK7o")
