team,week,event,rank,Overall_Result_Text,Plyoff_Result_Text,plyoff_team,plyoff_pick,plyoff_record,quals_record,quals_matchs,quals_size,quals_dqs,quals_avg_rp,quals_total_endgame_points,quals_total_auto_points,quals_total_ownership_points,quals_total_vault_points
frc1002,5.0,2018gacmp,22,"Team 1002 was Rank 22/45 with a record of 7-5-0 in quals, competed in the playoffs as the 2nd Pick of Alliance 6, and was eliminated in the Semifinals with a playoff record of 3-2-0.",2nd Pick of Alliance 6,6,2,"{'losses': 2, 'ties': 0, 'wins': 3}","{'losses': 5, 'ties': 0, 'wins': 7}",12,45,0,1.66,485.0,382.0,2494.0,325.0
frc1002,1.0,2018gadal,7,"Team 1002 was Rank 7/37 with a record of 8-4-0 in quals, competed in the playoffs as the 1st Pick of Alliance 3, and was eliminated in the Finals with a playoff record of 4-2-0.",1st Pick of Alliance 3,3,1,"{'losses': 2, 'ties': 0, 'wins': 4}","{'losses': 4, 'ties': 0, 'wins': 8}",12,37,0,1.5,415.0,205.0,2504.0,235.0
frc1002,0.0,2018gagai,19,Team 1002 was Rank 19/40 with a record of 6-6-0 in quals.,--,-1,-1,NA,"{'losses': 6, 'ties': 0, 'wins': 6}",12,40,0,1.16,370.0,163.0,1695.0,280.0
frc1072,3.0,2018cada,4,"Team 1072 was Rank 4/65 with a record of 7-1-0 in quals, competed in the playoffs as the Captain of Alliance 3, and was eliminated in the Finals with a playoff record of 4-4-0.",Captain of Alliance 3,3,0,"{'losses': 4, 'ties': 0, 'wins': 4}","{'losses': 1, 'ties': 0, 'wins': 7}",8,65,0,2.37,355.0,227.0,1844.0,210.0
frc1072,4.0,2018casj,18,"Team 1072 was Rank 18/60 with a record of 5-4-0 in quals, competed in the playoffs as the 1st Pick of Alliance 4, and was eliminated in the Quarterfinals with a playoff record of 1-2-0.",1st Pick of Alliance 4,4,1,"{'losses': 2, 'ties': 0, 'wins': 1}","{'losses': 4, 'ties': 0, 'wins': 5}",9,60,0,2.0,265.0,292.0,2081.0,250.0
frc1178,1.0,2018mosl,2,"Team 1178 was Rank 2/49 with a record of 8-2-0 in quals, competed in the playoffs as the Captain of Alliance 2, and was eliminated in the Finals with a playoff record of 4-2-0.",Captain of Alliance 2,2,0,"{'losses': 2, 'ties': 0, 'wins': 4}","{'losses': 2, 'ties': 0, 'wins': 8}",10,49,0,2.1,610.0,257.0,2044.0,235.0
frc1323,3.0,2018cada,2,"Team 1323 was Rank 2/65 with a record of 8-0-0 in quals, competed in the playoffs as the 1st Pick of Alliance 1, and won the event with a playoff record of 6-0-0.",1st Pick of Alliance 1,1,1,"{'losses': 0, 'ties': 0, 'wins': 6}","{'losses': 0, 'ties': 0, 'wins': 8}",8,65,0,3.25,560.0,314.0,2295.0,215.0
frc1323,5.0,2018cafr,2,"Team 1323 was Rank 2/47 with a record of 12-0-0 in quals, competed in the playoffs as the 1st Pick of Alliance 1, and won the event with a playoff record of 6-0-0.",1st Pick of Alliance 1,1,1,"{'losses': 0, 'ties': 0, 'wins': 6}","{'losses': 0, 'ties': 0, 'wins': 12}",12,47,0,3.41,905.0,474.0,3399.0,320.0
frc1515,3.0,2018cair,3,"Team 1515 was Rank 3/52 with a record of 9-1-0 in quals, competed in the playoffs as the Captain of Alliance 2, and was eliminated in the Semifinals with a playoff record of 3-2-0.",Captain of Alliance 2,2,0,"{'losses': 2, 'ties': 0, 'wins': 3}","{'losses': 1, 'ties': 0, 'wins': 9}",10,52,0,2.6,480.0,243.0,2366.0,335.0
frc1515,2.0,2018capo,32,"Team 1515 was Rank 32/54 with a record of 4-5-0 in quals, competed in the playoffs as the 2nd Pick of Alliance 6, and was eliminated in the Quarterfinals with a playoff record of 0-2-0.",2nd Pick of Alliance 6,6,2,"{'losses': 2, 'ties': 0, 'wins': 0}","{'losses': 5, 'ties': 0, 'wins': 4}",9,54,0,1.0,420.0,100.0,1079.0,185.0
